group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,20,8,19,17443.00000000,147557.00000000,0.11678788,0.07233333,0.81087879,0.18912121
fig7,Random,20,8,20,17217.00000000,147783.00000000,0.10845455,0.09881818,0.79272727,0.20727273
fig7,C-epsilon-greedy,20,8,1,17890.00000000,147110.00000000,0.11860606,0.07860606,0.80278788,0.19721212
fig7,C-epsilon-greedy,20,8,2,16514.00000000,148486.00000000,0.10703030,0.08321212,0.80975758,0.19024242
fig7,C-epsilon-greedy,20,8,3,17663.00000000,147337.00000000,0.11427273,0.08906061,0.79666667,0.20333333
fig7,C-epsilon-greedy,20,8,4,17735.00000000,147265.00000000,0.11512121,0.08784848,0.79703030,0.20296970
fig7,C-epsilon-greedy,20,8,5,17615.00000000,147385.00000000,0.11375758,0.08966667,0.79657576,0.20342424
fig7,C-epsilon-greedy,20,8,6,16643.00000000,148357.00000000,0.10812121,0.08275758,0.80912121,0.19087879
fig7,C-epsilon-greedy,20,8,7,16090.00000000,148910.00000000,0.10469697,0.07969697,0.81560606,0.18439394
fig7,C-epsilon-greedy,20,8,8,17745.00000000,147255.00000000,0.11690909,0.08100000,0.80209091,0.19790909
fig7,C-epsilon-greedy,20,8,9,17956.00000000,147044.00000000,0.11700000,0.08703030,0.79596970,0.20403030
fig7,C-epsilon-greedy,20,8,10,17890.00000000,147110.00000000,0.11324242,0.10006061,0.78669697,0.21330303
fig7,C-epsilon-greedy,20,8,11,16421.00000000,148579.00000000,0.10612121,0.08403030,0.80984848,0.19015152
fig7,C-epsilon-greedy,20,8,12,16935.00000000,148065.00000000,0.10815152,0.09148485,0.80036364,0.19963636
fig7,C-epsilon-greedy,20,8,13,17323.00000000,147677.00000000,0.11133333,0.09051515,0.79815152,0.20184848
fig7,C-epsilon-greedy,20,8,14,17666.00000000,147334.00000000,0.11606061,0.08200000,0.80193939,0.19806061
fig7,C-epsilon-greedy,20,8,15,17188.00000000,147812.00000000,0.11100000,0.08775758,0.80124242,0.19875758
