time_s,sbs_id,x,y
220.000,5,283.910879,208.056500
220.000,6,222.853362,137.593076
220.000,7,147.641363,219.290221
225.000,0,275.408847,48.032466
225.000,1,287.540309,236.730304
225.000,2,248.644276,189.659938
225.000,3,155.824794,191.390405
225.000,4,166.451999,191.210019
225.000,5,289.597845,212.946123
225.000,6,225.532606,143.217140
225.000,7,150.252123,221.262512
230.000,0,282.249436,46.033922
230.000,1,286.439252,229.311566
230.000,2,241.489976,191.910713
230.000,3,149.480675,195.390675
230.000,4,167.406077,193.567461
230.000,5,282.778642,216.068376
230.000,6,225.866172,135.724561
230.000,7,146.197500,227.572031
235.000,0,275.139971,43.645299
235.000,1,287.580630,223.687331
235.000,2,234.195303,193.653626
235.000,3,142.461870,198.033849
235.000,4,165.191791,186.401783
235.000,5,275.400432,214.722266
235.000,6,218.569311,133.990832
235.000,7,138.698097,227.477383
240.000,0,268.299955,46.721689
240.000,1,286.475959,231.105532
240.000,2,226.848754,195.163006
240.000,3,141.661657,196.973674
240.000,4,172.141825,189.220831
240.000,5,275.966321,211.325949
240.000,6,211.899658,130.958993
240.000,7,138.580858,228.016171
245.000,0,260.805164,46.442222
245.000,1,279.038532,230.138749
245.000,2,229.493667,188.144855
245.000,3,149.130233,196.287834
245.000,4,170.024997,196.415901
245.000,5,277.140739,205.228372
245.000,6,216.079558,125.389186
245.000,7,132.200008,224.074757
250.000,0,264.776658,40.080050
250.000,1,280.202755,233.796042
250.000,2,227.626965,180.880874
250.000,3,141.833987,198.024148
250.000,4,172.250967,197.547550
250.000,5,270.690653,206.347755
250.000,6,222.254202,122.176928
250.000,7,138.455105,219.936670
255.000,0,271.229205,43.902960
255.000,1,284.951918,239.600819
255.000,2,224.582748,174.026478
255.000,3,149.293706,198.800414
255.000,4,177.238427,191.946189
255.000,5,269.358839,213.728560
255.000,6,215.211755,119.597402
255.000,7,144.558088,215.577359
260.000,0,278.034152,47.056164
260.000,1,289.777344,239.756579
260.000,2,231.146709,177.654758
260.000,3,153.680619,192.717241
260.000,4,170.791285,192.592859
260.000,5,266.731848,218.946947
260.000,6,217.805814,126.634508
260.000,7,149.219135,213.330401
265.000,0,273.431946,52.978132
265.000,1,282.675701,237.797744
265.000,2,233.057955,170.402370
265.000,3,147.851310,197.436261
265.000,4,164.238819,195.937281
265.000,5,273.638792,216.023913
265.000,6,221.406830,133.213466
265.000,7,147.303894,220.581735
270.000,0,277.876378,52.512771
270.000,1,286.677482,244.140909
270.000,2,239.487487,174.263862
270.000,3,155.260947,198.596984
270.000,4,159.095505,190.478680
