group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig8,GNN-ActorCritic,30,8,1,2747.70000000,52252.30000000,0.06790909,0.08645455,0.84563636,0.15436364
fig8,GNN-ActorCritic,30,8,2,2588.60000000,52411.40000000,0.06481818,0.08436364,0.85081818,0.14918182
fig8,GNN-ActorCritic,30,8,3,2734.30000000,52265.70000000,0.06772727,0.08600000,0.84627273,0.15372727
fig8,GNN-ActorCritic,30,8,4,2748.00000000,52252.00000000,0.06745455,0.08836364,0.84418182,0.15581818
fig8,GNN-ActorCritic,30,8,5,2479.10000000,52520.90000000,0.06336364,0.08027273,0.85636364,0.14363636
fig9,GNN-ActorCritic,10,1,1,1094.00000000,53906.00000000,0.02600000,0.00000000,0.97400000,0.02600000
fig9,GNN-ActorCritic,10,1,2,1006.00000000,53994.00000000,0.02400000,0.00000000,0.97600000,0.02400000
fig9,GNN-ActorCritic,10,1,3,1170.00000000,53830.00000000,0.02772727,0.00000000,0.97227273,0.02772727
fig9,GNN-ActorCritic,10,1,4,1146.00000000,53854.00000000,0.02718182,0.00000000,0.97281818,0.02718182
fig9,GNN-ActorCritic,10,1,5,1178.00000000,53822.00000000,0.02790909,0.00000000,0.97209091,0.02790909
fig9,GNN-ActorCritic,20,1,1,2456.00000000,52544.00000000,0.05809091,0.00000000,0.94190909,0.05809091
fig9,GNN-ActorCritic,20,1,2,2372.00000000,52628.00000000,0.05618182,0.00000000,0.94381818,0.05618182
fig9,GNN-ActorCritic,20,1,3,2080.00000000,52920.00000000,0.04954545,0.00000000,0.95045455,0.04954545
fig9,GNN-ActorCritic,20,1,4,2176.00000000,52824.00000000,0.05172727,0.00000000,0.94827273,0.05172727
fig9,GNN-ActorCritic,20,1,5,2384.00000000,52616.00000000,0.05645455,0.00000000,0.94354545,0.05645455
fig9,GNN-ActorCritic,30,1,1,3375.60000000,51624.40000000,0.07909091,0.00000000,0.92090909,0.07909091
fig9,GNN-ActorCritic,30,1,2,3424.00000000,51576.00000000,0.08018182,0.00000000,0.91981818,0.08018182
fig9,GNN-ActorCritic,30,1,3,3319.70000000,51680.30000000,0.07781818,0.00000000,0.92218182,0.07781818
fig9,GNN-ActorCritic,30,1,4,3548.10000000,51451.90000000,0.08300000,0.00000000,0.91700000,0.08300000
fig9,GNN-ActorCritic,30,1,5,3399.20000000,51600.80000000,0.07963636,0.00000000,0.92036364,0.07963636
fig9,GNN-ActorCritic,10,4,1,1016.00000000,53984.00000000,0.02763636,0.00000000,0.97236364,0.02763636
fig9,GNN-ActorCritic,10,4,2,1136.00000000,53864.00000000,0.03036364,0.00000000,0.96963636,0.03036364
fig9,GNN-ActorCritic,10,4,3,1188.00000000,53812.00000000,0.03154545,0.00000000,0.96845455,0.03154545
fig9,GNN-ActorCritic,10,4,4,1224.00000000,53776.00000000,0.03236364,0.00000000,0.96763636,0.03236364
fig9,GNN-ActorCritic,10,4,5,1280.00000000,53720.00000000,0.03363636,0.00000000,0.96636364,0.03363636
fig9,GNN-ActorCritic,20,4,1,1872.00000000,53128.00000000,0.05163636,0.00000000,0.94836364,0.05163636
fig9,GNN-ActorCritic,20,4,2,2140.00000000,52860.00000000,0.05772727,0.00000000,0.94227273,0.05772727
fig9,GNN-ActorCritic,20,4,3,2180.00000000,52820.00000000,0.05863636,0.00000000,0.94136364,0.05863636
fig9,GNN-ActorCritic,20,4,4,1996.00000000,53004.00000000,0.05445455,0.00000000,0.94554545,0.05445455
fig9,GNN-ActorCritic,20,4,5,2084.00000000,52916.00000000,0.05645455,0.00000000,0.94354545,0.05645455
fig9,GNN-ActorCritic,30,4,1,2530.80000000,52469.20000000,0.06981818,0.00000000,0.93018182,0.06981818
fig9,GNN-ActorCritic,30,4,2,2652.60000000,52347.40000000,0.07254545,0.00000000,0.92745455,0.07254545
fig9,GNN-ActorCritic,30,4,3,2739.50000000,52260.50000000,0.07463636,0.00000000,0.92536364,0.07463636
fig9,GNN-ActorCritic,30,4,4,2954.80000000,52045.20000000,0.07945455,0.00000000,0.92054545,0.07945455
fig9,GNN-ActorCritic,30,4,5,3127.00000000,51873.00000000,0.08336364,0.00000000,0.91663636,0.08336364
fig9,GNN-ActorCritic,10,8,1,1573.00000000,53427.00000000,0.02890909,0.06372727,0.90736364,0.09263636
fig9,GNN-ActorCritic,10,8,2,1475.00000000,53525.00000000,0.02845455,0.05663636,0.91490909,0.08509091
fig9,GNN-ActorCritic,10,8,3,1372.00000000,53628.00000000,0.02663636,0.05454545,0.91881818,0.08118182
fig9,GNN-ActorCritic,10,8,4,1410.00000000,53590.00000000,0.02672727,0.05763636,0.91563636,0.08436364
fig9,GNN-ActorCritic,10,8,5,1493.00000000,53507.00000000,0.02900000,0.05609091,0.91490909,0.08509091
fig9,GNN-ActorCritic,20,8,1,2146.00000000,52854.00000000,0.04427273,0.09072727,0.86500000,0.13500000
fig9,GNN-ActorCritic,20,8,2,1901.00000000,53099.00000000,0.04190909,0.07790909,0.88018182,0.11981818
fig9,GNN-ActorCritic,20,8,3,2019.00000000,52981.00000000,0.04400000,0.08027273,0.87572727,0.12427273
fig9,GNN-ActorCritic,20,8,4,1820.00000000,53180.00000000,0.03872727,0.08327273,0.87800000,0.12200000
fig9,GNN-ActorCritic,20,8,5,1984.00000000,53016.00000000,0.04463636,0.07454545,0.88081818,0.11918182
fig9,GNN-ActorCritic,30,8,1,2671.10000000,52328.90000000,0.06818182,0.07836364,0.85345455,0.14654545
fig9,GNN-ActorCritic,30,8,2,2612.70000000,52387.30000000,0.06454545,0.08763636,0.84781818,0.15218182
fig9,GNN-ActorCritic,30,8,3,2749.40000000,52250.60000000,0.06718182,0.08954545,0.84327273,0.15672727
fig9,GNN-ActorCritic,30,8,4,2612.50000000,52387.50000000,0.06354545,0.09163636,0.84481818,0.15518182
fig9,GNN-ActorCritic,30,8,5,2439.80000000,52560.20000000,0.06190909,0.08245455,0.85563636,0.14436364
