time_s,mean_latency_ms,p95_latency_ms,mean_distance
249.000,6.943828,8.089950,38.776550
250.000,6.942850,8.102876,38.756999
251.000,6.948833,8.171727,38.776659
252.000,6.942284,8.053586,38.745682
253.000,6.949402,8.176246,38.788034
254.000,6.945851,8.094412,38.817026
255.000,6.948665,8.118842,38.773307
256.000,6.955694,8.118771,38.813876
257.000,6.945341,8.098418,38.806822
258.000,6.947275,8.103924,38.845498
259.000,6.942317,8.078616,38.846347
260.000,6.945014,8.080570,38.900289
261.000,6.957153,8.123461,38.943050
262.000,6.957811,8.126165,38.956215
263.000,6.959737,8.116062,38.894743
264.000,6.947573,8.125278,38.951458
265.000,6.953246,8.114233,38.964915
266.000,6.949565,8.127826,38.991305
267.000,6.963047,8.159138,38.960930
268.000,6.948030,8.126875,38.960604
269.000,6.958349,8.151243,38.966987
270.000,6.962410,8.158318,38.948197
271.000,6.958530,8.156448,38.970603
272.000,6.970139,8.198854,39.002779
273.000,6.967530,8.198125,38.950608
274.000,6.958642,8.149796,38.972833
275.000,6.952664,8.162282,38.953282
276.000,6.951446,8.139466,38.928911
277.000,6.956328,8.163649,38.926560
278.000,6.956405,8.163322,38.928102
279.000,6.956542,8.162968,38.930833
280.000,6.951057,8.135999,38.921132
281.000,6.953064,8.142146,38.961275
282.000,6.958630,8.180926,38.972600
283.000,6.952744,8.179507,38.954873
284.000,6.946985,8.108782,38.939707
285.000,6.954181,8.162009,38.983619
286.000,6.953738,8.164497,38.974750
287.000,6.952730,8.162234,38.954600
288.000,6.949753,8.164233,38.895066
289.000,6.956643,8.210737,38.832854
290.000,6.945376,8.164649,38.907513
291.000,6.951634,8.178025,38.932674
292.000,6.949842,8.141867,38.896843
293.000,6.962341,8.199415,38.946816
294.000,6.964776,8.187701,38.895525
295.000,6.941739,8.166384,38.834788
296.000,6.948210,8.143920,38.864210
297.000,6.958139,8.203283,38.862784
298.000,6.945930,8.154658,38.818601
299.000,6.942331,8.143398,38.846612
300.000,6.950628,8.181390,38.812557
